#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.41 -0.15  1.27186  0.580 3.819  4.183 11.00  0.000 0.00 14.320 14.701 14.747 14.320 14.050 13.812 13.532 13.311 13.292  1.272 
 1   9.41 -0.13  1.04338  0.064 3.775  4.441  8.90  0.000 0.00 13.511 14.195 14.156 13.556 13.202 12.894 12.508 12.196 12.167  1.043 
 1   9.41 -0.13  0.75371 -0.657 3.681  4.643  9.80  0.000 0.00 16.212 18.253 17.554 16.571 15.983 15.511 14.837 14.276 14.209  0.754 
 1   9.41 -0.13  0.91326 -0.239 3.740  4.542 10.90  0.000 0.00 16.267 17.389 17.138 16.385 15.956 15.592 15.106 14.711 14.669  0.913 
 1   9.41 -0.11  0.52331 -1.296 3.608  4.831  9.60  0.000 0.00 17.610 20.802 19.756 18.507 17.665 16.929 16.021 15.356 15.229  0.523 
 1   9.41 -0.11  0.78731 -0.574 3.693  4.624 10.10  0.000 0.00 16.305 18.158 17.542 16.600 16.048 15.601 14.966 14.441 14.380  0.787 
 1   9.41 -0.11  0.98306 -0.077 3.758  4.486 12.20  0.000 0.00 17.162 18.049 17.912 17.236 16.847 16.513 16.080 15.730 15.695  0.983 
 1   9.41 -0.09  0.64467 -0.979 3.639  4.729  7.20  0.000 0.00 14.418 17.198 16.223 15.071 14.333 13.741 12.922 12.251 12.157  0.645 
 1   9.41 -0.09  0.73197 -0.734 3.669  4.658  9.00  0.000 0.00 15.606 17.878 17.077 16.042 15.411 14.910 14.192 13.594 13.520  0.732 
 1   9.41 -0.09  0.79300 -0.566 3.693  4.621 10.50  0.000 0.00 16.684 18.538 17.920 16.977 16.426 15.980 15.346 14.823 14.762  0.793 
 1   9.41 -0.07  0.68578 -0.873 3.650  4.694  8.70  0.000 0.00 15.653 18.266 17.333 16.222 15.521 14.971 14.185 13.531 13.446  0.686 
 1   9.41 -0.07  0.78594 -0.591 3.689  4.625 11.80  0.000 0.00 18.048 19.986 19.327 18.366 17.800 17.344 16.695 16.158 16.095  0.786 
 1   9.41 -0.07  1.18423  0.367 3.802  4.299 12.70  0.000 0.00 16.553 17.036 17.058 16.562 16.259 15.994 15.676 15.423 15.400  1.184 
 1   9.41 -0.03  0.78204 -0.615 3.684  4.627  9.50  0.000 0.00 15.807 17.845 17.136 16.152 15.568 15.103 14.437 13.885 13.820  0.782 
 1   9.41 -0.03  0.78672 -0.603 3.686  4.625 11.90  0.000 0.00 18.177 20.184 19.488 18.512 17.934 17.472 16.812 16.266 16.202  0.787 
 1   9.41 -0.03  1.27435  0.536 3.806  4.177 12.50  0.000 0.00 15.929 16.401 16.411 15.929 15.635 15.378 15.071 14.828 14.806  1.274 
 1   9.41 -0.01  0.71392 -0.814 3.655  4.673 11.30  0.000 0.00 18.105 20.650 19.734 18.639 17.955 17.418 16.650 16.010 15.930  0.714 
 1   9.41  0.01  0.24498 -2.061 3.550  5.034  5.80  0.000 0.00 15.724 20.055 18.730 17.264 16.249 15.091 13.975 13.404 13.171  0.245 
 1   9.41  0.01  0.43992 -1.527 3.584  4.891  8.50  0.000 0.00 17.088 20.692 19.590 18.288 17.361 16.408 15.399 14.789 14.624  0.440 
 1   9.41  0.01  0.61638 -1.081 3.625  4.753 10.10  0.000 0.00 17.573 20.621 19.562 18.350 17.557 16.903 16.032 15.337 15.232  0.616 
 1   9.41  0.01  0.91929 -0.271 3.731  4.542 10.90  0.000 0.00 16.349 17.647 17.290 16.485 16.033 15.656 15.145 14.731 14.687  0.919 
 1   9.41  0.03  0.44300 -1.522 3.584  4.888  8.80  0.000 0.00 17.375 20.985 19.884 18.586 17.657 16.697 15.684 15.074 14.908  0.443 
 1   9.41  0.05  0.57439 -1.195 3.612  4.787  6.00  0.000 0.00 13.759 16.959 15.889 14.654 13.822 13.086 12.174 11.490 11.373  0.574 
 1   9.41  0.05  0.59859 -1.134 3.618  4.768  8.90  0.000 0.00 16.506 19.640 18.571 17.347 16.534 15.835 14.941 14.251 14.141  0.599 
 1   9.41  0.05  0.55205 -1.252 3.607  4.804  9.10  0.000 0.00 17.000 20.261 19.189 17.944 17.094 16.325 15.397 14.719 14.596  0.552 
 1   9.41  0.05  0.87199 -0.403 3.710  4.569 11.60  0.000 0.00 17.378 19.010 18.481 17.589 17.082 16.670 16.095 15.626 15.573  0.872 
 1   9.41  0.07  0.82815 -0.523 3.692  4.592  9.60  0.000 0.00 15.676 17.623 16.942 15.976 15.414 14.966 14.328 13.805 13.744  0.828 
 1   9.41  0.09  0.99883 -0.095 3.750  4.477 10.70  0.000 0.00 15.708 16.774 16.524 15.790 15.376 15.031 14.578 14.216 14.178  0.999 
 1   9.41  0.11  0.81547 -0.566 3.684  4.599  9.40  0.000 0.00 15.584 17.679 16.925 15.927 15.337 14.874 14.210 13.666 13.602  0.815 
 1   9.41  0.11  1.00111 -0.095 3.749  4.475 11.40  0.000 0.00 16.407 17.493 17.230 16.489 16.073 15.727 15.272 14.909 14.870  1.001 
 1   9.41  0.13  0.92329 -0.292 3.723  4.533  9.90  0.000 0.00 15.399 16.868 16.410 15.556 15.080 14.692 14.158 13.730 13.683  0.923 
 1   9.41  0.13  0.76552 -0.702 3.666  4.633 11.50  0.000 0.00 18.026 20.456 19.562 18.491 17.837 17.325 16.594 15.991 15.917  0.766 
 1   9.41  0.15  0.42537 -1.576 3.576  4.895  8.30  0.000 0.00 17.011 20.763 19.663 18.370 17.409 16.346 15.280 14.684 14.507  0.425 
 1   9.41  0.15  1.09315  0.112 3.769  4.386 11.60  0.000 0.00 16.090 16.951 16.789 16.130 15.754 15.440 15.042 14.726 14.694  1.093 
 1   9.41  0.19  1.39777  0.657 3.788  4.023 11.10  0.000 0.00 14.228 14.920 14.810 14.231 13.896 13.614 13.266 12.997 12.968  1.398 
 1   9.41  0.27  0.64180 -1.042 3.624  4.729  9.60  0.000 0.00 16.975 20.120 19.014 17.801 17.001 16.304 15.414 14.717 14.615  0.642 
 1   9.41  0.35  0.59235 -1.169 3.611  4.768  7.90  0.000 0.00 15.592 18.899 17.802 16.586 15.743 14.930 13.979 13.282 13.170  0.592 
 1   9.43 -0.53  0.99837  0.116 3.798  4.457 10.30  0.000 0.00 14.779 15.191 15.312 14.834 14.526 14.244 13.906 13.629 13.607  0.998 
 1   9.43 -0.45  0.71483 -0.659 3.691  4.663  7.30  0.000 0.00 13.717 15.451 14.930 14.017 13.477 13.024 12.386 11.855 11.790  0.715 
 1   9.43 -0.45  1.33248  0.845 3.817  3.932 10.20  0.000 0.00 12.858 13.214 13.282 12.879 12.613 12.368 12.078 11.849 11.829  1.332 
 1   9.43 -0.43  1.19520  0.573 3.833  4.221 11.00  0.000 0.00 14.338 14.626 14.718 14.355 14.114 13.894 13.641 13.440 13.425  1.195 
 1   9.43 -0.37  0.51680 -1.255 3.621  4.837  9.40  0.000 0.00 17.308 20.249 19.278 18.068 17.274 16.625 15.769 15.109 14.986  0.517 
 1   9.43 -0.31  1.39097  0.981 3.780  3.667 10.50  0.000 0.00 12.818 13.433 13.408 12.861 12.525 12.224 11.846 11.546 11.516  1.391 
 1   9.43 -0.31  1.24117  0.612 3.831  4.190 10.70  0.000 0.00 13.939 14.247 14.321 13.945 13.701 13.480 13.226 13.025 13.009  1.241 
 1   9.43 -0.29  0.57988 -1.102 3.632  4.778  9.20  0.000 0.00 16.725 19.534 18.582 17.414 16.658 16.047 15.216 14.548 14.441  0.580 
 1   9.43 -0.29  1.31658  0.737 3.818  4.040 11.20  0.000 0.00 14.128 14.496 14.550 14.137 13.870 13.629 13.346 13.122 13.103  1.317 
 1   9.43 -0.27  0.48147 -1.372 3.607  4.868  9.10  0.000 0.00 17.299 20.443 19.426 18.172 17.331 16.611 15.715 15.068 14.932  0.481 
 1   9.43 -0.23  0.99890 -0.002 3.773  4.476 12.00  0.000 0.00 16.774 17.458 17.432 16.830 16.473 16.158 15.764 15.443 15.413  0.999 
 1   9.43 -0.21  0.26587 -1.961 3.567  5.036  7.20  0.000 0.00 16.872 20.834 19.586 18.166 17.195 16.202 15.167 14.589 14.384  0.266 
 1   9.43 -0.21  1.01064  0.017 3.774  4.467 10.10  0.000 0.00 14.827 15.504 15.479 14.880 14.525 14.212 13.821 13.504 13.474  1.011 
 1   9.43 -0.21  1.04739  0.103 3.784  4.437 10.30  0.000 0.00 14.813 15.404 15.413 14.855 14.518 14.221 13.856 13.559 13.533  1.047 
 1   9.43 -0.21  1.17271  0.422 3.815  4.292 10.40  0.000 0.00 14.114 14.499 14.563 14.125 13.848 13.602 13.313 13.082 13.063  1.173 
 1   9.43 -0.21  1.06477  0.147 3.789  4.420 13.00  0.000 0.00 17.401 17.951 17.975 17.437 17.110 16.822 16.469 16.183 16.158  1.065 
 1   9.43 -0.19  0.31350 -1.828 3.574  5.004  7.10  0.000 0.00 16.439 20.209 19.035 17.660 16.709 15.755 14.743 14.163 13.971  0.313 
 1   9.43 -0.19  0.76183 -0.614 3.690  4.638 11.40  0.000 0.00 17.705 19.578 18.963 18.017 17.459 17.005 16.359 15.824 15.761  0.762 
 1   9.43 -0.19  1.23828  0.542 3.822  4.222 12.50  0.000 0.00 15.915 16.271 16.331 15.917 15.653 15.419 15.146 14.929 14.912  1.238 
 1   9.43 -0.17  1.38934  0.793 3.798  3.927 10.50  0.000 0.00 13.287 13.789 13.794 13.301 12.997 12.726 12.397 12.137 12.112  1.389 
 1   9.43 -0.17  1.14836  0.342 3.806  4.328 12.90  0.000 0.00 16.816 17.253 17.304 16.831 16.537 16.277 15.968 15.720 15.699  1.148 
 1   9.43 -0.15  0.75845 -0.637 3.685  4.640  9.90  0.000 0.00 16.263 18.235 17.569 16.602 16.026 15.562 14.900 14.350 14.285  0.758 
 1   9.43 -0.13  1.02045  0.017 3.770  4.455 10.70  0.000 0.00 15.427 16.171 16.104 15.481 15.116 14.800 14.399 14.075 14.044  1.020 
 1   9.43 -0.13  1.46135  0.907 3.702  3.451 11.20  0.000 0.00 13.703 15.374 14.854 13.933 13.429 13.001 12.397 11.907 11.851  1.461 
 1   9.43 -0.13  0.80150 -0.528 3.700  4.616 11.90  0.000 0.00 17.990 19.706 19.156 18.244 17.717 17.285 16.676 16.174 16.116  0.801 
 1   9.43 -0.11  0.58027 -1.147 3.622  4.782  8.10  0.000 0.00 15.737 18.767 17.735 16.521 15.723 15.063 14.192 13.508 13.397  0.580 
 1   9.43 -0.11  0.63712 -0.993 3.638  4.735 10.50  0.000 0.00 17.754 20.541 19.566 18.412 17.671 17.077 16.255 15.584 15.488  0.637 
 1   9.43 -0.11  0.79659 -0.548 3.696  4.619 11.40  0.000 0.00 17.541 19.330 18.744 17.815 17.276 16.836 16.214 15.701 15.641  0.797 
 1   9.43 -0.09  0.96207 -0.128 3.751  4.500 10.30  0.000 0.00 15.391 16.366 16.184 15.477 15.073 14.728 14.276 13.911 13.874  0.962 
 1   9.43 -0.09  1.42250  0.804 3.790  3.893 11.70  0.000 0.00 14.461 15.049 15.013 14.479 14.157 13.874 13.526 13.251 13.223  1.422 
 1   9.43 -0.07  0.56226 -1.203 3.615  4.797  8.80  0.000 0.00 16.577 19.703 18.655 17.423 16.603 15.901 15.009 14.330 14.213  0.562 
 1   9.43 -0.07  0.55777 -1.214 3.614  4.801 10.10  0.000 0.00 17.906 21.045 19.996 18.761 17.937 17.229 16.334 15.657 15.538  0.558 
 1   9.43 -0.07  0.62796 -1.030 3.633  4.744 10.70  0.000 0.00 18.045 20.931 19.924 18.747 17.986 17.371 16.531 15.851 15.751  0.628 
 1   9.43 -0.05  0.56614 -1.198 3.615  4.794 10.00  0.000 0.00 17.765 20.900 19.847 18.615 17.794 17.089 16.195 15.515 15.398  0.566 
 1   9.43 -0.05  1.29875  0.593 3.805  4.127 11.00  0.000 0.00 14.288 14.761 14.770 14.288 13.994 13.736 13.427 13.184 13.161  1.299 
 1   9.43 -0.05  1.28822  0.574 3.806  4.143 11.20  0.000 0.00 14.536 15.007 15.018 14.537 14.242 13.985 13.677 13.433 13.410  1.288 
 1   9.43 -0.03  1.10851  0.206 3.785  4.362  9.50  0.000 0.00 13.754 14.386 14.350 13.780 13.443 13.152 12.791 12.502 12.475  1.109 
 1   9.43 -0.03  0.73779 -0.736 3.667  4.655  9.70  0.000 0.00 16.311 18.649 17.814 16.764 16.122 15.616 14.888 14.283 14.209  0.738 
 1   9.43 -0.03  0.79423 -0.582 3.688  4.620 11.20  0.000 0.00 17.426 19.384 18.711 17.745 17.176 16.720 16.071 15.533 15.471  0.794 
 1   9.43  0.03  0.86632 -0.411 3.710  4.571 12.20  0.000 0.00 17.998 19.630 19.103 18.212 17.704 17.291 16.713 16.242 16.189  0.866 
 1   9.43  0.07  0.39240 -1.648 3.573  4.919  7.10  0.000 0.00 15.991 19.794 18.662 17.338 16.375 15.320 14.262 13.676 13.490  0.392 
 1   9.43  0.11  0.27336 -1.985 3.550  5.007  4.90  0.000 0.00 14.633 18.950 17.632 16.172 15.158 14.001 12.886 12.313 12.080  0.273 
 1   9.43  0.13  1.44082  0.738 3.779  3.922 10.30  0.000 0.00 13.224 13.972 13.846 13.241 12.892 12.596 12.225 11.937 11.906  1.441 
 1   9.43  0.13  0.63915 -1.038 3.627  4.733 10.50  0.000 0.00 17.864 20.927 19.850 18.644 17.855 17.193 16.321 15.627 15.525  0.639 
 1   9.43  0.15  1.42932  0.716 3.781  3.946 10.40  0.000 0.00 13.381 14.124 13.998 13.395 13.048 12.754 12.387 12.102 12.071  1.429 
 1   9.43  0.17  0.69655 -0.894 3.641  4.683 10.10  0.000 0.00 17.105 19.973 18.933 17.769 17.027 16.424 15.599 14.929 14.839  0.697 
 1   9.43  0.19  0.65662 -1.001 3.629  4.718  9.30  0.000 0.00 16.573 19.621 18.540 17.341 16.559 15.900 15.033 14.342 14.243  0.657 
 1   9.43  0.21  1.27245  0.463 3.788  4.179 10.10  0.000 0.00 13.714 14.402 14.297 13.716 13.380 13.099 12.754 12.485 12.457  1.272 
 1   9.43  0.23  0.66615 -0.978 3.631  4.709 10.00  0.000 0.00 17.215 20.252 19.167 17.972 17.195 16.540 15.677 14.990 14.893  0.666 
 1   9.43  0.31  1.56056  1.717 3.663  2.511 11.00  0.000 0.00 11.477 14.220 13.115 11.911 11.281 10.773 10.019  9.447  9.363  1.561 
 1   9.45 -0.57  0.51901 -1.200 3.635  4.840  9.30  0.000 0.00 17.070 19.725 18.858 17.717 16.980 16.386 15.576 14.931 14.818  0.519 
 1   9.45 -0.53  0.59960 -0.980 3.653  4.754  7.70  0.000 0.00 14.920 17.293 16.509 15.449 14.779 14.239 13.473 12.838 12.747  0.600 
 1   9.45 -0.51  0.46430 -1.364 3.619  4.893  9.60  0.000 0.00 17.781 20.690 19.748 18.535 17.739 17.091 16.242 15.600 15.469  0.464 
 1   9.45 -0.51  0.84977 -0.253 3.752  4.576 11.50  0.000 0.00 16.903 17.721 17.669 17.007 16.615 16.264 15.813 15.444 15.405  0.850 
 1   9.45 -0.47  0.63095 -0.901 3.661  4.728 11.00  0.000 0.00 18.023 20.280 19.534 18.503 17.860 17.339 16.598 15.981 15.896  0.631 
 1   9.45 -0.43  1.00925  0.130 3.795  4.437 12.80  0.000 0.00 17.245 17.698 17.790 17.294 16.980 16.695 16.353 16.073 16.049  1.009 
 1   9.45 -0.41  0.53638 -1.190 3.629  4.818  9.80  0.000 0.00 17.544 20.363 19.427 18.248 17.482 16.864 16.029 15.367 15.253  0.536 
 1   9.45 -0.35  0.95587 -0.028 3.776  4.497  9.60  0.000 0.00 14.440 15.053 15.076 14.499 14.151 13.839 13.453 13.137 13.108  0.956 
 1   9.45 -0.33  0.63560 -0.933 3.652  4.728  9.10  0.000 0.00 16.202 18.670 17.825 16.745 16.063 15.520 14.747 14.104 14.016  0.636 
 1   9.45 -0.33  1.24156  0.632 3.829  4.162 10.70  0.000 0.00 13.890 14.203 14.278 13.898 13.650 13.426 13.166 12.961 12.945  1.242 
 1   9.45 -0.31  0.52012 -1.258 3.619  4.833  9.20  0.000 0.00 17.116 20.111 19.121 17.902 17.099 16.434 15.568 14.906 14.783  0.520 
 1   9.45 -0.31  0.79736 -0.466 3.716  4.617 12.30  0.000 0.00 18.235 19.626 19.259 18.428 17.950 17.545 16.988 16.531 16.478  0.797 
 1   9.45 -0.29  1.18695  0.504 3.825  4.256 11.90  0.000 0.00 15.410 15.734 15.816 15.420 15.163 14.932 14.665 14.452 14.436  1.187 
 1   9.45 -0.27  0.95066 -0.092 3.764  4.509 10.50  0.000 0.00 15.500 16.272 16.211 15.574 15.199 14.870 14.451 14.110 14.076  0.951 
 1   9.45 -0.27  1.40141  0.856 3.712  3.521 11.10  0.000 0.00 13.730 15.188 14.789 13.930 13.452 13.038 12.464 11.997 11.944  1.401 
 1   9.45 -0.23  0.55423 -1.183 3.622  4.801  8.10  0.000 0.00 15.829 18.808 17.806 16.596 15.803 15.152 14.289 13.615 13.499  0.554 
 1   9.45 -0.23  0.88472 -0.268 3.740  4.559 12.70  0.000 0.00 18.141 19.220 19.003 18.261 17.835 17.470 16.985 16.590 16.547  0.885 
 1   9.45 -0.19  1.04708  0.094 3.782  4.436  9.40  0.000 0.00 13.934 14.550 14.546 13.976 13.635 13.335 12.964 12.664 12.636  1.047 
 1   9.45 -0.19  0.93535 -0.158 3.752  4.521 12.10  0.000 0.00 17.265 18.198 18.050 17.355 16.954 16.609 16.158 15.793 15.755  0.935 
 1   9.45 -0.17  0.62954 -0.997 3.640  4.739 10.50  0.000 0.00 17.762 20.499 19.548 18.404 17.671 17.084 16.269 15.603 15.507  0.630 
 1   9.45 -0.17  0.87205 -0.322 3.731  4.570 10.80  0.000 0.00 16.375 17.603 17.302 16.516 16.070 15.691 15.179 14.762 14.717  0.872 
 1   9.45 -0.17  0.71240 -0.761 3.667  4.667 10.90  0.000 0.00 17.573 19.840 19.052 18.019 17.385 16.881 16.157 15.555 15.479  0.712 
 1   9.45 -0.17  1.48206  1.771 3.682  2.512 12.20  0.000 0.00 12.543 14.619 13.895 12.858 12.309 11.843 11.165 10.621 10.556  1.482 
 1   9.45 -0.15  1.11099  0.235 3.795  4.373  9.80  0.000 0.00 13.983 14.502 14.528 14.007 13.691 13.412 13.074 12.802 12.778  1.111 
 1   9.45 -0.13  1.10514  0.207 3.791  4.383 10.20  0.000 0.00 14.452 15.010 15.018 14.480 14.155 13.870 13.523 13.243 13.218  1.105 
 1   9.45 -0.13  1.27981  0.598 3.812  4.139 10.70  0.000 0.00 13.975 14.400 14.431 13.978 13.696 13.446 13.150 12.916 12.895  1.280 
 1   9.45 -0.11  0.74728 -0.681 3.677  4.646 10.50  0.000 0.00 16.971 19.093 18.354 17.353 16.751 16.271 15.582 15.008 14.939  0.747 
 1   9.45 -0.11  1.12915  0.259 3.795  4.356 11.30  0.000 0.00 15.422 15.952 15.967 15.443 15.126 14.848 14.511 14.241 14.217  1.129 
 1   9.45 -0.11  0.98993 -0.053 3.761  4.476 11.40  0.000 0.00 16.303 17.159 17.036 16.372 15.988 15.658 15.232 14.889 14.854  0.990 
 1   9.45 -0.11  1.32131  0.661 3.804  4.060 11.80  0.000 0.00 14.917 15.389 15.403 14.923 14.627 14.366 14.052 13.805 13.781  1.321 
 1   9.45 -0.11  1.25672  0.545 3.811  4.181 12.40  0.000 0.00 15.806 16.237 16.268 15.809 15.525 15.274 14.976 14.741 14.720  1.257 
 1   9.45 -0.09  0.26608 -1.981 3.560  5.028  7.80  0.000 0.00 17.521 21.639 20.361 18.927 17.939 16.867 15.795 15.219 15.003  0.266 
 1   9.45 -0.09  0.38886 -1.640 3.580  4.935  8.10  0.000 0.00 16.971 20.629 19.504 18.174 17.237 16.287 15.279 14.685 14.508  0.389 
 1   9.45 -0.09  1.49492  1.739 3.678  2.532  9.60  0.000 0.00 10.022 12.208 11.422 10.355  9.793  9.321  8.630  8.076  8.009  1.495 
 1   9.45 -0.09  0.87291 -0.349 3.724  4.572 10.00  0.000 0.00 15.643 16.994 16.621 15.800 15.336 14.948 14.417 13.985 13.938  0.873 
 1   9.45 -0.09  0.72979 -0.737 3.668  4.658 10.40  0.000 0.00 17.013 19.297 18.491 17.454 16.820 16.318 15.597 14.997 14.924  0.730 
 1   9.45 -0.09  0.90582 -0.265 3.735  4.545 10.50  0.000 0.00 15.932 17.135 16.838 16.060 15.620 15.249 14.749 14.343 14.300  0.906 
 1   9.45 -0.07  0.84893 -0.421 3.713  4.587  8.30  0.000 0.00 14.123 15.659 15.192 14.325 13.831 13.422 12.855 12.391 12.340  0.849 
 1   9.45 -0.05  0.55382 -1.229 3.612  4.803  6.10  0.000 0.00 13.942 17.113 16.057 14.818 13.987 13.265 12.362 11.686 11.566  0.554 
 1   9.45 -0.05  0.50339 -1.361 3.600  4.847  8.50  0.000 0.00 16.672 19.974 18.911 17.644 16.776 15.990 15.054 14.395 14.262  0.503 
 1   9.45 -0.01  0.91593 -0.267 3.732  4.539 11.10  0.000 0.00 16.536 17.814 17.469 16.671 16.221 15.846 15.337 14.925 14.881  0.916 
 1   9.45  0.01  1.20517  0.410 3.796  4.241 10.70  0.000 0.00 14.446 14.991 14.978 14.453 14.139 13.867 13.537 13.275 13.251  1.205 
 1   9.45  0.01  0.83012 -0.500 3.697  4.589 11.40  0.000 0.00 17.419 19.253 18.632 17.692 17.148 16.710 16.089 15.578 15.520  0.830 
 1   9.45  0.03  0.63843 -1.022 3.630  4.732  9.00  0.000 0.00 16.326 19.296 18.252 17.060 16.287 15.654 14.800 14.111 14.011  0.638 
 1   9.45  0.03  0.78418 -0.629 3.678  4.618  9.40  0.000 0.00 15.742 17.913 17.136 16.123 15.516 15.038 14.350 13.780 13.713  0.784 
 1   9.45  0.03  0.84180 -0.474 3.700  4.583 12.20  0.000 0.00 18.154 19.939 19.337 18.408 17.874 17.443 16.834 16.335 16.279  0.842 
 1   9.45  0.05  0.39683 -1.633 3.575  4.915  8.60  0.000 0.00 17.454 21.225 20.102 18.783 17.823 16.779 15.727 15.141 14.958  0.397 
 1   9.45  0.05  0.88979 -0.352 3.718  4.557 10.80  0.000 0.00 16.451 17.963 17.494 16.631 16.145 15.746 15.195 14.748 14.699  0.890 
 1   9.45  0.05  1.04357  0.033 3.765  4.428 11.00  0.000 0.00 15.689 16.557 16.406 15.742 15.362 15.040 14.627 14.297 14.264  1.044 
 1   9.45  0.05  0.90717 -0.307 3.724  4.546 12.40  0.000 0.00 17.938 19.348 18.929 18.092 17.622 17.236 16.706 16.278 16.231  0.907 
 1   9.45  0.07  0.90655 -0.314 3.723  4.546 11.10  0.000 0.00 16.655 18.101 17.662 16.815 16.340 15.951 15.415 14.983 14.936  0.907 
 1   9.45  0.09  0.61456 -1.096 3.621  4.753 10.30  0.000 0.00 17.810 20.924 19.849 18.632 17.827 17.140 16.252 15.559 15.452  0.615 
 1   9.45  0.09  1.09523  0.144 3.774  4.374 10.50  0.000 0.00 14.910 15.687 15.573 14.943 14.580 14.273 13.887 13.579 13.549  1.095 
 1   9.45  0.11  0.57863 -1.191 3.611  4.782  9.50  0.000 0.00 17.248 20.479 19.402 18.169 17.333 16.578 15.655 14.969 14.853  0.579 
 1   9.45  0.11  1.89829  0.818 4.351  6.005 11.90  0.000 0.00 14.624 15.736 16.630 16.837 16.943 17.084 17.399 17.497 17.578  1.088 
 1   9.45  0.15  1.15954  0.273 3.781  4.301  9.40  0.000 0.00 13.487 14.214 14.109 13.505 13.156 12.862 12.498 12.210 12.182  1.160 
 1   9.45  0.15  0.72313 -0.818 3.650  4.662 11.10  0.000 0.00 17.915 20.625 19.626 18.494 17.785 17.227 16.438 15.788 15.705  0.723 
 1   9.45  0.21  1.05956  0.032 3.758  4.410 11.50  0.000 0.00 16.189 17.202 16.960 16.247 15.846 15.517 15.091 14.754 14.719  1.060 
 1   9.45  0.23  0.71347 -0.852 3.645  4.670 10.00  0.000 0.00 16.900 19.726 18.685 17.530 16.800 16.214 15.404 14.745 14.659  0.713 
 1   9.45  0.23  0.89175 -0.385 3.708  4.549 10.80  0.000 0.00 16.531 18.297 17.680 16.753 16.228 15.813 15.229 14.762 14.708  0.892 
 1   9.45  0.27  1.17716  0.293 3.780  4.284 11.10  0.000 0.00 15.138 15.919 15.772 15.149 14.793 14.500 14.136 13.853 13.824  1.177 
 1   9.45  0.29  1.21727  0.369 3.784  4.238 10.20  0.000 0.00 14.047 14.799 14.659 14.051 13.703 13.416 13.063 12.790 12.762  1.217 
 1   9.45  0.29  1.48252  0.860 3.745  3.676 14.70  0.000 0.00 17.320 18.552 18.180 17.398 16.970 16.622 16.159 15.804 15.762  1.483 
 1   9.45  0.31  1.02886 -0.041 3.751  4.440 11.00  0.000 0.00 15.873 17.025 16.702 15.943 15.521 15.181 14.735 14.386 14.348  1.029 
 1   9.45  0.33  1.33466  0.564 3.785  4.083  8.40  0.000 0.00 11.759 12.528 12.368 11.757 11.410 11.125 10.774 10.504 10.475  1.335 
 1   9.45  0.35  0.87357 -0.431 3.701  4.558 10.20  0.000 0.00 16.048 17.987 17.269 16.298 15.747 15.320 14.715 14.233 14.176  0.874 
 1   9.47 -0.33  0.80769 -0.425 3.724  4.610  8.80  0.000 0.00 14.631 15.903 15.598 14.798 14.339 13.946 13.412 12.974 12.925  0.808 
 1   9.47 -0.31  0.47377 -1.383 3.608  4.874  9.10  0.000 0.00 17.327 20.451 19.442 18.189 17.351 16.638 15.746 15.102 14.966  0.474 
 1   9.47 -0.31  0.78635 -0.496 3.712  4.623 10.90  0.000 0.00 16.910 18.373 17.970 17.121 16.631 16.218 15.646 15.176 15.121  0.786 
 1   9.47 -0.29  0.59233 -1.067 3.636  4.766 10.40  0.000 0.00 17.838 20.594 19.657 18.503 17.759 17.160 16.337 15.672 15.569  0.592 
 1   9.47 -0.29  1.15568  0.449 3.821  4.280 12.40  0.000 0.00 16.047 16.393 16.474 16.061 15.796 15.556 15.278 15.056 15.038  1.156 
 1   9.47 -0.27  0.20431 -2.171 3.557  5.092  7.10  0.000 0.00 17.297 21.544 20.174 18.680 17.683 16.645 15.582 15.007 14.783  0.204 
 1   9.47 -0.27  0.87974 -0.262 3.742  4.560  8.70  0.000 0.00 14.124 15.155 14.967 14.239 13.821 13.459 12.981 12.591 12.549  0.880 
 1   9.47 -0.27  1.23759  0.596 3.823  4.171  8.80  0.000 0.00 12.080 12.424 12.491 12.087 11.827 11.593 11.320 11.104 11.086  1.238 
 1   9.47 -0.27  0.54663 -1.193 3.623  4.807  9.10  0.000 0.00 16.854 19.812 18.820 17.613 16.823 16.176 15.317 14.645 14.529  0.547 
 1   9.47 -0.25  0.43019 -1.505 3.596  4.907  7.90  0.000 0.00 16.432 19.751 18.699 17.408 16.528 15.740 14.809 14.184 14.032  0.430 
 1   9.47 -0.23  0.25552 -1.988 3.566  5.043  7.80  0.000 0.00 17.540 21.524 20.264 18.835 17.863 16.871 15.835 15.258 15.050  0.256 
 1   9.47 -0.23  0.89318 -0.244 3.743  4.551 12.60  0.000 0.00 17.979 19.016 18.820 18.091 17.673 17.312 16.836 16.449 16.407  0.893 
 1   9.47 -0.19  0.72870 -0.705 3.676  4.656 10.10  0.000 0.00 16.633 18.738 18.015 17.019 16.417 15.935 15.242 14.665 14.595  0.729 
 1   9.47 -0.19  0.92020 -0.191 3.748  4.530 11.00  0.000 0.00 16.247 17.232 17.058 16.346 15.937 15.585 15.123 14.748 14.709  0.920 
 1   9.47 -0.17  1.26320  0.592 3.813  4.147  8.40  0.000 0.00 11.691 12.098 12.139 11.696 11.417 11.170 10.877 10.646 10.625  1.263 
 1   9.47 -0.17  0.74207 -0.675 3.680  4.648  9.30  0.000 0.00 15.756 17.804 17.106 16.122 15.532 15.057 14.378 13.813 13.745  0.742 
