#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.31  0.23  0.64947 -1.039 3.627  4.743  8.30  0.000 0.00 15.667 18.761 17.667 16.461 15.670 14.995 14.118 13.426 13.325  0.649 
 1   8.37 -0.37  0.68467 -0.805 3.669  4.700 10.00  0.000 0.00 16.783 18.942 18.222 17.213 16.594 16.093 15.377 14.780 14.702  0.685 
 1   8.39  0.33  0.78191 -0.702 3.665  4.638 10.20  0.000 0.00 16.724 19.274 18.304 17.204 16.535 16.016 15.280 14.683 14.608  0.782 
 1   8.41 -0.09  0.21455 -2.168 3.548  5.077  5.70  0.000 0.00 15.889 20.285 18.913 17.418 16.398 15.256 14.145 13.575 13.339  0.215 
 1   8.41  0.33  0.69319 -0.928 3.638  4.705  8.40  0.000 0.00 15.489 18.458 17.372 16.192 15.435 14.805 13.967 13.297 13.206  0.693 
 1   8.43  0.01  0.91025 -0.345 3.721  4.574 10.80  0.000 0.00 16.434 17.874 17.445 16.601 16.126 15.733 15.192 14.753 14.705  0.910 
 1   8.45  0.01  0.77105 -0.689 3.671  4.645  8.50  0.000 0.00 14.992 17.264 16.449 15.413 14.786 14.292 13.581 12.991 12.921  0.771 
 1   8.45  0.01  0.56932 -1.214 3.612  4.801  8.90  0.000 0.00 16.704 19.895 18.829 17.591 16.758 16.030 15.122 14.441 14.323  0.569 
 1   8.45  0.05  0.27315 -1.987 3.553  5.019  7.60  0.000 0.00 17.337 21.589 20.291 18.845 17.838 16.698 15.593 15.019 14.792  0.273 
 1   8.45  0.13  0.39410 -1.660 3.571  4.925  8.50  0.000 0.00 17.421 21.273 20.131 18.804 17.834 16.758 15.687 15.099 14.911  0.394 
 1   8.45  0.25  0.90616 -0.397 3.707  4.566 10.50  0.000 0.00 16.262 18.046 17.417 16.485 15.957 15.541 14.957 14.489 14.434  0.906 
 1   8.47 -0.11  0.80008 -0.584 3.693  4.642 10.90  0.000 0.00 17.129 18.980 18.365 17.424 16.872 16.425 15.791 15.267 15.206  0.800 
 1   8.47 -0.09  1.51787  0.774 3.873  4.283 13.40  0.000 0.00 16.236 16.456 16.479 16.206 16.040 15.894 15.737 15.619 15.609  1.518 
 1   8.47  0.01  0.66475 -0.967 3.637  4.724  7.40  0.000 0.00 14.588 17.438 16.428 15.263 14.514 13.912 13.083 12.406 12.312  0.665 
 1   8.51 -0.03  2.10482  1.381 3.961  4.171  8.60  0.000 0.00  9.918 10.046 10.042  9.999  9.984  9.975  9.968  9.962  9.961  2.105 
 1   8.51  0.09  0.91473 -0.353 3.717  4.567 11.00  0.000 0.00 16.652 18.196 17.706 16.835 16.344 15.945 15.392 14.945 14.895  0.915 
 1   8.51  0.35  1.19505  0.210 3.782  4.380 13.50  0.000 0.00 17.744 18.536 18.375 17.749 17.393 17.103 16.746 16.470 16.442  1.195 
 1   8.53  0.21  0.47420 -1.467 3.584  4.863  8.90  0.000 0.00 17.338 20.972 19.891 18.628 17.690 16.676 15.630 15.007 14.847  0.474 
 1   8.53  0.29  0.79586 -0.664 3.669  4.625  8.50  0.000 0.00 14.930 17.384 16.454 15.375 14.723 14.219 13.500 12.915 12.843  0.796 
 1   8.53  0.29  0.67689 -0.968 3.634  4.718 10.00  0.000 0.00 17.190 20.206 19.118 17.929 17.160 16.511 15.658 14.978 14.884  0.677 
 1   8.57  0.09  0.49993 -1.396 3.593  4.851  7.70  0.000 0.00 15.960 19.422 18.342 17.076 16.178 15.286 14.301 13.655 13.511  0.500 
 1   8.57  0.55  0.71948 -0.859 3.646  4.683 10.70  0.000 0.00 17.618 20.554 19.439 18.263 17.522 16.921 16.109 15.461 15.375  0.719 
 1   8.59  0.25  0.50605 -1.390 3.591  4.841  8.90  0.000 0.00 17.144 20.678 19.604 18.359 17.446 16.484 15.461 14.811 14.666  0.506 
 1   8.61 -0.25  0.61434 -1.034 3.639  4.761 10.00  0.000 0.00 17.354 20.077 19.143 17.999 17.265 16.676 15.861 15.197 15.098  0.614 
 1   8.61 -0.23  1.01853 -0.030 3.772  4.510  9.60  0.000 0.00 14.446 15.139 15.110 14.504 14.144 13.828 13.432 13.109 13.079  1.019 
 1   8.61 -0.13  0.65167 -0.965 3.643  4.735  8.50  0.000 0.00 15.682 18.385 17.437 16.303 15.579 15.003 14.197 13.534 13.442  0.652 
 1   8.61 -0.13  0.64301 -0.988 3.640  4.742  9.80  0.000 0.00 17.040 19.785 18.825 17.681 16.948 16.362 15.548 14.882 14.787  0.643 
 1   8.61 -0.07  0.54077 -1.268 3.609  4.823  9.80  0.000 0.00 17.741 20.932 19.879 18.634 17.795 17.062 16.154 15.484 15.360  0.541 
 1   8.61  0.09  2.39392  1.632 3.960  3.970 11.20  0.000 0.00 11.889 12.000 11.987 11.957 11.942 11.936 11.928 11.923 11.921  2.394 
 1   8.61  0.11  1.52355  0.737 3.849  4.227 13.40  0.000 0.00 16.327 16.619 16.633 16.284 16.070 15.888 15.686 15.532 15.517  1.524 
 1   8.63 -0.05  0.64092 -1.016 3.635  4.746  7.60  0.000 0.00 14.909 17.773 16.769 15.598 14.843 14.234 13.399 12.722 12.624  0.641 
 1   8.63  0.13  0.93015 -0.325 3.719  4.555 11.50  0.000 0.00 17.082 18.609 18.122 17.255 16.767 16.373 15.828 15.389 15.340  0.930 
 1   8.65 -0.09  0.66791 -0.933 3.645  4.723 11.00  0.000 0.00 18.102 20.784 19.835 18.707 17.990 17.422 16.622 15.961 15.872  0.668 
 1   8.65  0.09  0.51196 -1.366 3.596  4.842  8.30  0.000 0.00 16.484 19.900 18.823 17.562 16.674 15.810 14.836 14.180 14.042  0.512 
 1   8.65  0.29  1.61318  0.832 3.856  4.185 13.50  0.000 0.00 16.190 16.487 16.466 16.126 15.924 15.759 15.577 15.443 15.428  1.613 
 1   8.67 -0.27  0.51107 -1.304 3.614  4.851  9.40  0.000 0.00 17.429 20.497 19.491 18.256 17.435 16.744 15.864 15.207 15.080  0.511 
 1   8.67 -0.15  0.58072 -1.147 3.624  4.790 10.10  0.000 0.00 17.738 20.731 19.712 18.503 17.712 17.063 16.200 15.518 15.407  0.581 
 1   8.67 -0.09  1.59139  0.887 3.888  4.248  9.20  0.000 0.00 11.752 11.954 11.953 11.719 11.582 11.465 11.337 11.244 11.235  1.591 
